Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2015/6/4,"PennTex Midstream Partners, LP ",PTXP,"Citigroup/ Barclays/ RBC Capital Markets/ Tudor, Pickering, Holt",$20.00 ,$20.95 ,$19.48 ,-2.60%,$0.95 ,($0.52),2,
2015/6/5,DAVIDsTEA ,DTEA,Goldman Sachs/ J.P. Morgan,$19.00 ,$25.00 ,$27.00 ,42.11%,$6.00 ,$8.00 ,3,
2015/6/5,EndoChoice (ECPM Holdings)  ,GI,J.P. Morgan/ BofA Merrill Lynch/ William Blair/ Stifel,$15.00 ,$14.50 ,$17.00 ,13.33%,($0.50),$2.00 ,2,
2015/6/5,Evolent Health  ,EVH,J.P. Morgan/ Goldman Sachs,$17.00 ,$18.00 ,$18.86 ,10.94%,$1.00 ,$1.86 ,3,
2015/6/11,Axovant Sciences ,AXON,Jefferies/ Evercore ISI/ RBC Capital Markets,$15.00 ,$20.93 ,$29.90 ,99.33%,$5.93 ,$14.90 ,3,
2015/6/11,Electrum Special Acquisition ,ELECU,Cantor Fitzgerald ,$10.00 ,$10.06 ,$10.15 ,1.50%,$0.06 ,$0.15 ,1,
2015/6/11,People's Utah Bancorp ,PUB,D.A. Davidson & Co.,$14.40 ,$15.76 ,$16.70 ,15.97%,$1.36 ,$2.30 ,1,Missed
2015/6/12,Wingstop  ,WING,Morgan Stanley/ Jefferies/ Baird,$19.00 ,$30.50 ,$30.59 ,61.00%,$11.50 ,$11.59 ,3,
2015/6/15,Invuity ,IVTY,Piper Jaffray/ Leerink Partners/ Stifel,$12.00 ,$12.75 ,$14.92 ,24.33%,$0.75 ,$2.92 ,1,
2015/6/17,Nivalis Therapeutics  ,NVLS,Cowen and Company/ Stifel,$14.00 ,$16.50 ,$14.92 ,6.57%,$2.50 ,$0.92 ,2,
2015/6/18,Fitbit  ,FIT,Morgan Stanley/ Deutsche Bank Securities/ BofAMerrill Lynch,$20.00 ,$30.40 ,$29.68 ,48.40%,$10.40 ,$9.68 ,4,
2015/6/18,Univar ,UNVR,Deutsche Bank Securities/ Goldman Sachs/ BofA Merrill Lynch,$22.00 ,$24.10 ,$24.05 ,9.32%,$2.10 ,$2.05 ,2,
2015/6/19,8point3 Energy Partners LP  ,CAFD,Goldman Sachs/ Citigroup/ Deutsche Bank Securities/ J.P. Morgan/ Credit Agricole CIB,$21.00 ,$20.80 ,$20.49 ,-2.43%,($0.20),($0.51),2,Missed
2015/6/19,Fogo de Ch?o ,FOGO,Jefferies/ J.P. Morgan,$20.00 ,$25.24 ,$25.75 ,28.75%,$5.24 ,$5.75 ,4,
2015/6/19,MINDBODY ,MB,Morgan Stanley/ Credit Suisse/ UBS Securities,$14.00 ,$16.22 ,$11.56 ,-17.43%,$2.22 ,($2.44),3,
2015/6/24,Ritter Pharmaceuticals ,RTTR,Aegis Capital Corp,$5.00 ,$5.00 ,$4.96 ,-0.80%,$0.00 ,($0.04),1,
2015/6/25,Catabasis Pharmaceuticals  (CATB),CATB,Citigroup/ Cowen and Company,$12.00 ,$12.74 ,$13.00 ,8.33%,$0.74 ,$1.00 ,1,
2015/6/25,Gener8 Maritime  ,GNRT,Citigroup/ UBS/ Jefferies/ Evercore ISI,$14.00 ,$12.75 ,$13.10 ,-6.43%,($1.25),($0.90),1,
2015/6/25,Glaukos ,GKOS,J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,$18.00 ,$29.11 ,$31.22 ,73.44%,$11.11 ,$13.22 ,3,
2015/6/25,Lantheus Holdings ,LNTH,Credit Suisse/ Jefferies/ RBC Capital Markets/ Wells Fargo Securities,$14.00 ,$16.22 ,$11.56 ,-17.43%,$2.22 ,($2.44),1,
2015/6/25,Milacron Holdings  ,MCRN,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Baird/ Credit Suisse/ Goldman Sachs,$20.00 ,$19.50 ,$19.58 ,-2.10%,($0.50),($0.42),2,Missed
2015/6/25,TransUnion  ,TRU,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Deutsche Bank Securities/ RBC Capital Markets/ Wells Fargo Securities/ Credit Suisse,$22.50 ,$24.62 ,$24.50 ,8.89%,$2.12 ,$2.00 ,2,
2015/6/26,Alarm.com Holdings  ,ALRM,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch,$14.00 ,$16.05 ,$16.88 ,20.57%,$2.05 ,$2.88 ,3,
2015/6/26,AppFolio ,APPF,Morgan Stanley/ Credit Suisse,$12.00 ,$12.15 ,$14.08 ,17.33%,$0.15 ,$2.08 ,2,
2015/6/26,Green Plains Partners LP  ,GPP,Barclays/ BofA Merrill Lynch/ Credit Suisse/ Macquarie Capital/ RBC Capital Markets,$15.00 ,$15.23 ,$15.00 ,0.00%,$0.23 ,$0.00 ,1,
2015/6/26,Seres Therapeutics  ,MCRB,Goldman Sachs/ BofA Merrill Lynch,$18.00 ,$31.36 ,$51.40 ,185.56%,$13.36 ,$33.40 ,3,
2015/6/26,Xactly  ,XTLY,J.P. Morgan/ Deutsche Bank Securities/ UBS Investment Bank,$8.00 ,$8.00 ,$8.70 ,8.75%,$0.00 ,$0.70 ,1,
2015/6/26,Yulong Eco-Materials ,YECO,Axiom Capital Management/ Northland Capital Markets/ ViewTrade Securities,$6.25 ,$6.25 ,$6.17 ,-1.28%,$0.00 ,($0.08),1,
2015/7/1,CNX Coal Resources LP  ,CNXC,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies / Scotia Howard Weil/ Citigroup/ Credit Suisse/ J.P. Morgan/ Evercore ISI / BB&T Capital Markets/ Goldman Sachs/ The Huntington Investment Company/ Stifel/ Nomura,$15.00 ,$15.00 ,$15.41 ,2.73%,$0.00 ,$0.41 ,1,
2015/7/1,ConforMIS  ,CFMS,J.P. Morgan/ Deutsche Bank Securities,$15.00 ,$18.00 ,$19.25 ,28.33%,$3.00 ,$4.25 ,3,
2015/7/1,Teladoc ,TDOC,J.P. Morgan/ Deutsche Bank Securities,$19.00 ,$29.90 ,$28.50 ,50.00%,$10.90 ,$9.50 ,3,
2015/7/1,Unique Fabricating  ,UFAB,Roth Capital Partners/ Taglich Brothers,$9.50 ,$12.50 ,$13.49 ,42.00%,$3.00 ,$3.99 ,1,Missed
2015/7/2,Natera ,NTRA,Morgan Stanle/ Cowen and Company/ Piper Jaffray,$18.00 ,$22.10 ,$22.74 ,26.33%,$4.10 ,$4.74 ,3,
2015/7/16,Chiasma ,CHMA,Barclays/ Cowen and Company,$16.00 ,$20.99 ,$20.00 ,25.00%,$4.99 ,$4.00 ,3,
2015/7/16,Jupai Holdings ,JP,Credit Suisse/ China Renaissance,$10.00 ,$10.41 ,$11.08 ,10.80%,$0.41 ,$1.08 ,1,
2015/7/16,Ollie's Bargain Outlet Holdings ,OLLI,J.P. Morgan/ Jefferies/ BofA Merrill Lynch,$16.00 ,$21.27 ,$21.15 ,32.19%,$5.27 ,$5.15 ,1,
2015/7/16,ProNAi Therapeutics ,DNAI,Jefferies/ BofA Merrill Lynch,$17.00 ,$28.68 ,$30.80 ,81.18%,$11.68 ,$13.80 ,3,
2015/7/17,MCBC Holdings ,MCFT,Baird/ Raymond James/ Wells Fargo Securities,$15.00 ,$15.50 ,$15.92 ,6.13%,$0.50 ,$0.92 ,2,
2015/7/17,Ooma ,OOMA,Credit Suisse/ BofA Merrill Lynch,$13.00 ,$12.10 ,$10.95 ,-15.77%,($0.90),($2.05),1,
2015/7/17,Rapid7 ,RPD,Morgan Stanley/ Barclays,$16.00 ,$26.75 ,$25.28 ,58.00%,$10.75 ,$9.28 ,4,
2015/7/22,Blue Buffalo Pet Products  ,BUFF,J.P. Morgan/ Citigroup,$20.00 ,$27.00 ,$27.20 ,36.00%,$7.00 ,$7.20 ,4,
2015/7/23,Hennessy Capital Acquisition Corp II  ,HCACU,UBS Investment Bank/ Cantor Fitzgerald/ BMO Capital Markets,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/7/23,Live Oak Bancshares ,LOB,"Sandler O¡¯Neill & Partners, L.P",$17.00 ,$18.50 ,$19.07 ,12.18%,$1.50 ,$2.07 ,2,
2015/7/23,Neos Therapeutics ,NEOS,UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets,$15.00 ,$18.22 ,$19.54 ,30.27%,$3.22 ,$4.54 ,1,Missed
2015/7/24,JM Global Holding ,WYIGU,Cantor Fitzgerald,$10.00 ,$10.00 ,$10.06 ,0.60%,$0.00 ,$0.06 ,1,
2015/7/28,NantKwest ,NK,BofA Merrill Lynch/ Citigroup/ Jefferies/ Piper Jaffray,$25.00 ,$37.00 ,$34.64 ,38.56%,$12.00 ,$9.64 ,3,
2015/7/30,Easterly Acquisition   ,EACQU,Citigroup,$10.00 ,$10.00 ,$9.99 ,-0.10%,$0.00 ,($0.01),1,
2015/7/30,Global Partner Acquisition ,GPACU,Deutsche Bank Securities,$10.00 ,$10.01 ,$10.03 ,0.30%,$0.01 ,$0.03 ,1,
2015/7/30,vTv Therapeutics ,VTV,Piper Jaffray/ Stifel,$15.00 ,$14.00 ,$10.89 ,-27.40%,($1.00),($4.11),2,Missed
2015/7/31,TerraForm Global  ,GLBL,J.P. Morgan/ Barclays/ Citigroup/ Morgan Stanley,$15.00 ,$14.00 ,$14.00 ,-6.67%,($1.00),($1.00),1,
2015/7/31,Aqua Metals  ,AQMS,National Securities Corporation,$5.00 ,$6.50 ,$5.35 ,7.00%,$1.50 ,$0.35 ,1,
2015/8/5,Amplify Snack Brands ,BETR,Goldman Sachs/ Jefferies/ Credit Suisse,$18.00 ,$17.00 ,$16.14 ,-10.33%,($1.00),($1.86),3,Missed
2015/8/5,Sunrun ,RUN,Credit Suisse/ Goldman Sachs/ Morgan Stanley,$14.00 ,$13.06 ,$10.77 ,-23.07%,($0.94),($3.23),1,
2015/8/5,Zynerba Pharmeceuticals ,ZYNE,Jefferies/ Piper Jaffray,$14.00 ,$18.00 ,$16.25 ,16.07%,$4.00 ,$2.25 ,3,
2015/8/6,Aimmune Therapeutics ,AIMT,BofA Merrill Lynch/ Credit Suisse/ Piper Jaffray,$16.00 ,$17.50 ,$24.10 ,50.63%,$1.50 ,$8.10 ,3,
2015/8/6,Planet Fitness  ,PLNT,J.P. Morgan Securities Merrill Lynch/ Jefferies/ Credit Suisse Securities,$16.00 ,$14.50 ,$16.00 ,0.00%,($1.50),$0.00 ,3,Missed
2015/8/12,Global Blood Therapeutics ,GBT,Morgan Stanley/ Goldman Sachs,$20.00 ,$34.65 ,$43.11 ,115.55%,$14.65 ,$23.11 ,3,
2015/8/13,Conifer Holdings ,CNFR,BMO Capital Markets/ Raymond James,$10.50 ,$9.75 ,$10.50 ,0.00%,($0.75),$0.00 ,1,
2015/8/13,E-compass Acquisition ,ECACU,Cantor Fitzgerald,$10.00 ,$10.05 ,$10.04 ,0.40%,$0.05 ,$0.04 ,1,
2015/8/13,Houlihan Lokey ,HLI,BofA Merrill Lynch/ Goldman Sachs,$21.00 ,$22.11 ,$22.40 ,6.67%,$1.11 ,$1.40 ,1,
2015/8/14,Gores Holdings ,GRSHU,Deutsche Bank Securities,$10.00 ,$10.03 ,$10.49 ,4.90%,$0.03 ,$0.49 ,1,
2015/9/11,Double Eagle Acquisition ,EAGLU,Deutsche Bank Securities/ BofA Merrill Lynch,$10.00 ,$10.01 ,$10.05 ,0.50%,$0.01 ,$0.05 ,1,
2015/9/11,Pace Holdings  ,PACEU,Deutsche Bank Securities/ Citigroup,$10.00 ,$10.10 ,$10.11 ,1.10%,$0.10 ,$0.11 ,1,
2015/9/17,REGENXBIO Inc.  ,RGNX,Morgan Stanley/ BofA Merrill Lynch/ Piper Jaffray,$22.00 ,$30.26 ,$30.45 ,38.41%,$8.26 ,$8.45 ,3,
2015/9/18,Nabriva Therapeutics AG ,NBRV,Leerink Partners/ RBC Capital Markets,$10.25 ,$11.39 ,$13.24 ,29.17%,$1.14 ,$2.99 ,2,
2015/9/18,Penumbra  ,PEN,J.P. Morgan/ BofA Merrill Lynch,$30.00 ,$40.00 ,$41.30 ,37.67%,$10.00 ,$11.30 ,3,
2015/9/22,Boulevard Acquisition Corp. II  ,BLVDU,Citigroup,$10.00 ,$10.00 ,$9.96 ,-0.40%,$0.00 ,($0.04),1,
2015/10/1,Edge Therapeutics ,EDGE,Leerink Partners/ Credit Suisse,$11.00 ,$11.60 ,$12.94 ,17.64%,$0.60 ,$1.94 ,1,
2015/10/1,Mirna Therapeutics ,MIRN,Citigroup/ Leerink Partners,$7.00 ,$7.25 ,$7.04 ,0.57%,$0.25 ,$0.04 ,1,
2015/10/1,Performance Food Group  ,PFGC,Credit Suisse/ Barclays/ Wells Fargo Securities/ Morgan Stanley,$19.00 ,$19.00 ,$19.20 ,1.05%,$0.00 ,$0.20 ,1,
2015/10/1,Surgery Partners ,SGRY,BofA Merrill Lynch/ Goldman Sachs/ Jefferies,$19.00 ,$17.45 ,$18.11 ,-4.68%,($1.55),($0.89),1,
2015/10/2,NovoCure ,NVCR,J.P. Morgan/ Deutsche Bank Securities/ Evercore ISI/ Wells Fargo Securities,$22.00 ,$19.23 ,$18.28 ,-16.91%,($2.77),($3.72),1,
2015/10/7,Aclaris Therapeutics ,ACRS,Jefferies/ Citigroup,$11.00 ,$11.94 ,$11.05 ,0.45%,$0.94 ,$0.05 ,1,
2015/10/7,Pure Storage ,PSTG,Morgan Stanley/ Goldman Sachs/ Barclays/ Allen & Company/ BofA Merrill Lynch,$17.00 ,$16.74 ,$16.01 ,-5.82%,($0.26),($0.99),3,Missed
2015/10/8,Allegiance Bancshares ,ABTX,Baird/ Stephens,$21.00 ,$22.31 ,$23.12 ,10.10%,$1.31 ,$2.12 ,1,
2015/10/8,CytomX Therapeutics ,CTMX,BofA Merrill Lynch/ Jefferies/ Cowen and Company,$12.00 ,$15.60 ,$12.90 ,7.50%,$3.60 ,$0.90 ,1,
2015/10/9,CPI Card Group ,PMTS,BMO Capital Markets/ Goldman Sachs/ CIBC,$10.00 ,$11.00 ,$12.17 ,21.70%,$1.00 ,$2.17 ,1,
2015/10/14,Capitol Acquisition Corp. III ,CLACU,Citigroup/ Deutsche Bank Securities/ Credit Suisse,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/10/14,Cerecor ,CERCU,Maxim Group LLC,$6.50 ,$6.59 ,$6.40 ,-1.54%,$0.09 ,($0.10),1,
2015/10/14,First Data   ,FDC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ KKR/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ HSBC/ Mizuho Securities/ PNC Capital Markets/ SunTrust Robinson Humphrey/ Wells Fargo Securities,$16.00 ,$16.39 ,$15.75 ,-1.56%,$0.39 ,($0.25),1,
