routablemask_link,routablemask_link/_text,routablemask_link/_title,routablemask_link_numbers,routablemask_content,imagebadge_value,imagebadge_value_numbers,routable_link,routable_link/_text,routable_link/_title,routable_link_numbers,listingtype_value,pricelarge_value,pricelarge_value_prices,propertyinfo_value,propertyinfo_value_numbers,fineprint_value,fineprint_value_numbers,tozcount_number,tozfresh_value,tablegrouped_values,tablegrouped_values_prices,"_PAGE_NUMBER"
"http://www.zillow.com/homedetails/340-W-47th-St-APT-4C-New-York-NY-10036/2108861613_zpid/","","","","","","","http://www.zillow.com/homedetails/340-W-47th-St-APT-4C-New-York-NY-10036/2108861613_zpid/","340 W 47th St APT 4C, New York, NY10036","340 W 47th St APT 4C, New York, NY Real Estate","340; 47; 4","Apartment For Rent","$2,490/mo","2490","1 bd • 1 ba","1; 1","","","6","hours ago","","","1"
"http://www.zillow.com/homedetails/1356-1st-Ave-APT-5B-New-York-NY-10021/31539199_zpid/","9 photos","","9","","9 photos","9","http://www.zillow.com/homedetails/1356-1st-Ave-APT-5B-New-York-NY-10021/31539199_zpid/","1356 1st Ave APT 5B, New York, NY10021","1356 1st Ave APT 5B, New York, NY Real Estate","1356; 1; 5","Apartment For Rent","$2,750/mo","2750","1 bd • 1 ba • 496 sqft • 4,502 sqft lot • Built 1900","1; 1; 496; 4502; 1900","","","6","hours ago","","","1"
"http://www.zillow.com/homedetails/101-W-77th-St-APT-3C-New-York-NY-10024/2114511658_zpid/","4 photos","","4","","4 photos","4","http://www.zillow.com/homedetails/101-W-77th-St-APT-3C-New-York-NY-10024/2114511658_zpid/","101 W 77th St APT 3C, New York, NY10024","101 W 77th St APT 3C, New York, NY Real Estate","101; 77; 3","Apartment For Rent","$2,150/mo","2150","Studio • 1 ba","1","","","6","hours ago","","","1"
"http://www.zillow.com/homedetails/111-W-74th-St-APT-2R-New-York-NY-10023/2123304010_zpid/","6 photos","","6","","6 photos","6","http://www.zillow.com/homedetails/111-W-74th-St-APT-2R-New-York-NY-10023/2123304010_zpid/","111 W 74th St APT 2R, New York, NY10023","111 W 74th St APT 2R, New York, NY Real Estate","111; 74; 2","Apartment For Rent","$2,875/mo","2875","1 bd • 1 ba","1; 1","","","6","hours ago","","","1"
"http://www.zillow.com/b/417-E-82nd-St-New-York-NY/40.77406,-73.9501_ll/","3 photos","","3","","3 photos","3","http://www.zillow.com/b/417-E-82nd-St-New-York-NY/40.77406,-73.9501_ll/","417 E 82nd St","417 E 82nd St APT 4C, New York, NY Real Estate","417; 82","Apartments For Rent","","","417 E 82nd St, New York, NY","417; 82","3 matching units","3","","Updated today","Studios $2,000+ 1.0 ba -- sqft","2000","1"
"http://www.zillow.com/b/244-E-71st-St-New-York-NY/40.76859,-73.96009_ll/","6 photos","","6","","6 photos","6","http://www.zillow.com/b/244-E-71st-St-New-York-NY/40.76859,-73.96009_ll/","244 E 71st St","244 E 71st St APT 3D, New York, NY Real Estate","244; 71","Apartments For Rent","","","244 E 71st St, New York, NY","244; 71","5 matching units","5","","Updated today","Studios $2,125+ 1.0 ba -- sqft","2125","1"
"http://www.zillow.com/b/428-E-77th-St-New-York-NY/40.77026,-73.95245_ll/","2 photos","","2","","2 photos","2","http://www.zillow.com/b/428-E-77th-St-New-York-NY/40.77026,-73.95245_ll/","428 E 77th St","428 E 77th St APT 2C, New York, NY Real Estate","428; 77","Apartments For Rent","","","428 E 77th St, New York, NY","428; 77","3 matching units","3","","Updated today","Studios $2,200+ 1.0 ba -- sqft; 1 Bedrooms $2,600 1.0 ba -- sqft","2200; 2600","1"
"http://www.zillow.com/homedetails/646-10th-Ave-APT-4B-New-York-NY-10036/2114397534_zpid/","","","","","","","http://www.zillow.com/homedetails/646-10th-Ave-APT-4B-New-York-NY-10036/2114397534_zpid/","646 10th Ave APT 4B, New York, NY10036","646 10th Ave APT 4B, New York, NY Real Estate","646; 10; 4","Apartment For Rent","$2,225/mo","2225","1 bd • 1 ba","1; 1","","","6","hours ago","","","1"
"http://www.zillow.com/homedetails/76-Carmine-St-APT-4C-New-York-NY-10014/2110813540_zpid/","4 photos","","4","","4 photos","4","http://www.zillow.com/homedetails/76-Carmine-St-APT-4C-New-York-NY-10014/2110813540_zpid/","76 Carmine St APT 4C, New York, NY10014","76 Carmine St APT 4C, New York, NY Real Estate","76; 4","Apartment For Rent","$2,450/mo","2450","Studio • 1 ba","1","","","7","hours ago","","","1"
"http://www.zillow.com/homedetails/146-W-120th-St-APT-8-New-York-NY-10027/2100762986_zpid/","6 photos","","6","","6 photos","6","http://www.zillow.com/homedetails/146-W-120th-St-APT-8-New-York-NY-10027/2100762986_zpid/","146 W 120th St APT 8, New York, NY10027","146 W 120th St APT 8, New York, NY Real Estate","146; 120; 8","Apartment For Rent","$1,800/mo","1800","1 bd • 1 ba","1; 1","","","9","hours ago","","","1"
"http://www.zillow.com/homedetails/137-W-72nd-St-APT-4FE-New-York-NY-10023/2105480982_zpid/","10 photos","","10","","10 photos","10","http://www.zillow.com/homedetails/137-W-72nd-St-APT-4FE-New-York-NY-10023/2105480982_zpid/","137 W 72nd St APT 4FE, New York, NY10023","137 W 72nd St APT 4FE, New York, NY Real Estate","137; 72; 4","Apartment For Rent","$2,850/mo","2850","1 bd • 1 ba • 700 sqft","1; 1; 700","","","9","hours ago","","","1"
"http://www.zillow.com/homedetails/178-Avenue-B-2-New-York-NY-10009/2100763265_zpid/","6 photos","","6","","6 photos","6","http://www.zillow.com/homedetails/178-Avenue-B-2-New-York-NY-10009/2100763265_zpid/","178 Avenue B # 2, New York, NY10009","178 Avenue B # 2, New York, NY Real Estate","178; 2","Apartment For Rent","$2,700/mo","2700","1 bd • 1 ba","1; 1","","","10","hours ago","","","1"
"http://www.zillow.com/b/535-W-162nd-St-New-York-NY/40.83683,-73.94119_ll/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/535-W-162nd-St-New-York-NY/40.83683,-73.94119_ll/","535 W 162nd St","535 W 162nd St APT 44, New York, NY Real Estate","535; 162","Apartments For Rent","","","535 W 162nd St, New York, NY","535; 162","2 matching units","2","","Updated today","2 Bedrooms $2,200+ 1.0 ba -- sqft","2200","1"
"http://www.zillow.com/homedetails/95-Wall-St-72791-New-York-NY-10005/2103168440_zpid/","17 photos","","17","","17 photos","17","http://www.zillow.com/homedetails/95-Wall-St-72791-New-York-NY-10005/2103168440_zpid/","95 Wall St, New York, NY","95 Wall, Studio E1O Real Estate","95","Apartment For Rent","$3,000+/mo","3000","Studio • 1 ba • 487 sqft","1; 487","","","","Updated today","","","1"
"http://www.zillow.com/homedetails/129-Rivington-St-FRNT-2F-New-York-NY-10002/2100765545_zpid/","","","","","","","http://www.zillow.com/homedetails/129-Rivington-St-FRNT-2F-New-York-NY-10002/2100765545_zpid/","129 Rivington St FRNT 2F, New York, NY10002","129 Rivington St FRNT 2F, New York, NY Real Estate","129; 2","Apartment For Rent","$2,995/mo","2995","2 bds • 1 ba","2; 1","","","18","hours ago","","","1"
"http://www.zillow.com/b/45-wall-street-new-york-ny-8Jmx/","16 photos","","16","","16 photos","16","http://www.zillow.com/b/45-wall-street-new-york-ny-8Jmx/","45 Wall Street","45 Wall St APT 1518, New York, NY Real Estate","45","Apartments For Rent","","","45 Wall St, New York, NY","45","4 matching units","4","","Updated today","Studios $2,600+ 1.0 ba 425+ sqft","2600","2"
"http://www.zillow.com/b/plaza-200-new-york-ny-5XjXqX/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/plaza-200-new-york-ny-5XjXqX/","Plaza 200","355 S End Ave APT 14G, New York, NY Real Estate","200","Apartments For Rent","","","355 S End Ave, New York, NY","355","2 matching units","2","","","Studios $2,589+ 1.0 ba 579+ sqft","2589","2"
"http://www.zillow.com/homedetails/211-E-4th-St-APT-3-New-York-NY-10009/2119571597_zpid/","","","","","","","http://www.zillow.com/homedetails/211-E-4th-St-APT-3-New-York-NY-10009/2119571597_zpid/","211 E 4th St APT 3, New York, NY10009","211 E 4th St APT 3, New York, NY Real Estate","211; 4; 3","Apartment For Rent","$2,700/mo","2700","1 bd • 1 ba • 525 sqft","1; 1; 525","","","","","","","2"
"http://www.zillow.com/b/203-Rivington-St-New-York-NY/40.71825,-73.98307_ll/","7 photos","","7","","7 photos","7","http://www.zillow.com/b/203-Rivington-St-New-York-NY/40.71825,-73.98307_ll/","203 Rivington St","203 Rivington St APT 5B, New York, NY Real Estate","203","Apartments For Rent","","","203 Rivington St, New York, NY","203","2 matching units","2","","","1 Bedrooms $3,000 1.0 ba 750 sqft; 2 Bedrooms $3,000 1.0 ba -- sqft","3000; 3000","2"
"http://www.zillow.com/homedetails/52-Allen-St-3-New-York-NY-10002/2100767061_zpid/","11 photos","","11","","11 photos","11","http://www.zillow.com/homedetails/52-Allen-St-3-New-York-NY-10002/2100767061_zpid/","52 Allen St # 3, New York, NY10002","52 Allen St # 3, New York, NY Real Estate","52; 3","Apartment For Rent","$2,800/mo","2800","2 bds • 1 ba • 650 sqft","2; 1; 650","","","","","","","2"
"http://www.zillow.com/homedetails/280-E-2nd-St-604-New-York-NY-10009/2100767100_zpid/","4 photos","","4","","4 photos","4","http://www.zillow.com/homedetails/280-E-2nd-St-604-New-York-NY-10009/2100767100_zpid/","280 E 2nd St # 604, New York, NY10009","280 E 2nd St # 604, New York, NY Real Estate","280; 2; 604","Apartment For Rent","$2,850/mo","2850","1 bd • 1 ba","1; 1","","","","","","","2"
"http://www.zillow.com/b/153-Avenue-A-New-York-NY/40.72774,-73.98269_ll/","2 photos","","2","","2 photos","2","http://www.zillow.com/b/153-Avenue-A-New-York-NY/40.72774,-73.98269_ll/","153 Avenue A","153 Avenue A APT 1, New York, NY Real Estate","153","Apartments For Rent","","","153 Avenue A, New York, NY","153","4 matching units","4","","","Studios $1,995+ 1.0 ba -- sqft","1995","2"
"http://www.zillow.com/b/310-E-6th-St-New-York-NY/40.72693,-73.98801_ll/","6 photos","","6","","6 photos","6","http://www.zillow.com/b/310-E-6th-St-New-York-NY/40.72693,-73.98801_ll/","310 E 6th St","310 E 6th St # STUD, New York, NY Real Estate","310; 6","Apartments For Rent","","","310 E 6th St, New York, NY","310; 6","3 matching units","3","","","Studios $1,875+ 1.0 ba -- sqft; 1 Bedrooms $2,395 1.0 ba -- sqft","1875; 2395","2"
"http://www.zillow.com/homedetails/201-Allen-St-2R-New-York-NY-10002/2100769330_zpid/","","","","","","","http://www.zillow.com/homedetails/201-Allen-St-2R-New-York-NY-10002/2100769330_zpid/","201 Allen St # 2R, New York, NY10002","201 Allen St # 2R, New York, NY Real Estate","201; 2","Apartment For Rent","$2,199/mo","2199","1 bd • 1 ba","1; 1","","","","","","","2"
"http://www.zillow.com/b/41-Henry-St-New-York-NY/40.71313,-73.99586_ll/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/41-Henry-St-New-York-NY/40.71313,-73.99586_ll/","41 Henry St","41 Henry St APT 20, New York, NY Real Estate","41","Apartments For Rent","","","41 Henry St, New York, NY","41","2 matching units","2","","","2 Bedrooms $2,470+ 1.0 ba -- sqft","2470","2"
"http://www.zillow.com/b/197-Madison-St-New-York-NY/40.71275,-73.99029_ll/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/197-Madison-St-New-York-NY/40.71275,-73.99029_ll/","197 Madison St","197 Madison St APT 9, New York, NY Real Estate","197","Apartments For Rent","","","197 Madison St, New York, NY","197","2 matching units","2","","","2 Bedrooms $2,329+ 1.0 ba -- sqft","2329","2"
"http://www.zillow.com/homedetails/74-Leonard-St-APT-2B-New-York-NY-10013/2100769387_zpid/","7 photos","","7","","7 photos","7","http://www.zillow.com/homedetails/74-Leonard-St-APT-2B-New-York-NY-10013/2100769387_zpid/","74 Leonard St APT 2B, New York, NY10013","74 Leonard St APT 2B, New York, NY Real Estate","74; 2","Apartment For Rent","$2,895/mo","2895","Studio • 1 ba","1","","","","","","","2"
"http://www.zillow.com/b/52-Henry-St-New-York-NY/40.71272,-73.99535_ll/","","","","","","","http://www.zillow.com/b/52-Henry-St-New-York-NY/40.71272,-73.99535_ll/","52 Henry St","52 Henry St # 3F, New York, NY Real Estate","52","Apartments For Rent","","","52 Henry St, New York, NY","52","2 matching units","2","","","2 Bedrooms $2,575+ 1.0 ba -- sqft","2575","2"
"http://www.zillow.com/homedetails/70-Orchard-St-APT-6-New-York-NY-10002/2100774367_zpid/","","","","","","","http://www.zillow.com/homedetails/70-Orchard-St-APT-6-New-York-NY-10002/2100774367_zpid/","70 Orchard St APT 6, New York, NY10002","70 Orchard St APT 6, New York, NY Real Estate","70; 6","Apartment For Rent","$2,200/mo","2200","1 bd • 1 ba","1; 1","","","","","","","2"
"http://www.zillow.com/b/90-Washington-St-New-York-NY/40.70806,-74.01485_ll/","9 photos","","9","","9 photos","9","http://www.zillow.com/b/90-Washington-St-New-York-NY/40.70806,-74.01485_ll/","90 Washington St","90 Washington St APT 3Q, New York, NY Real Estate","90","Apartments For Rent","","","90 Washington St, New York, NY","90","3 matching units","3","","","Studios $2,925+ 1.0 ba 470+ sqft","2925","2"
"http://www.zillow.com/homedetails/1-West-St-APT-2040-New-York-NY-10004/2127108261_zpid/","11 photos","","11","","11 photos","11","http://www.zillow.com/homedetails/1-West-St-APT-2040-New-York-NY-10004/2127108261_zpid/","1 West St APT 2040, New York, NY10004","1 West St APT 2040, New York, NY Real Estate","1; 2040","Apartment For Rent","$2,600/mo","2600","Studio • 1 ba • 406 sqft • Built 1903","1; 406; 1903","","","","","","","2"
"http://www.zillow.com/b/trump-place-.dash.-180-riverside-blvd-new-york-ny-5XjKjm/","14 photos","","14","","14 photos","14","http://www.zillow.com/b/trump-place-.dash.-180-riverside-blvd-new-york-ny-5XjKjm/","Trump Place - 180 Riverside Blvd","Trump Place - 180 Riverside Blvd, Residence F, floors 3-17 Real Estate","-180","Apartments For Rent","","","180 Riverside Blvd, New York, NY","180","3 matching units","3","","Updated today","Studios $2,575+ 1.0 ba 406+ sqft","2575","2"
"http://www.zillow.com/homedetails/166-W-76th-St-APT-4E-New-York-NY-10023/2118825231_zpid/","5 photos","","5","","5 photos","5","http://www.zillow.com/homedetails/166-W-76th-St-APT-4E-New-York-NY-10023/2118825231_zpid/","166 W 76th St APT 4E, New York, NY10023","166 W 76th St APT 4E, New York, NY Real Estate","166; 76; 4","Apartment For Rent","$2,300/mo","2300","Studio • 1 ba • 350 sqft • 465 sqft lot","1; 350; 465","","","12","hours ago","","","2"
"http://www.zillow.com/b/411-E-118th-St-New-York-NY/40.79721,-73.93363_ll/","3 photos","","3","","3 photos","3","http://www.zillow.com/b/411-E-118th-St-New-York-NY/40.79721,-73.93363_ll/","411 E 118th St","411 E 118th St APT 4, New York, NY Real Estate","411; 118","Apartments For Rent","","","411 E 118th St, New York, NY","411; 118","2 matching units","2","","Updated today","1 Bedrooms $1,625 1.0 ba -- sqft; 2 Bedrooms $2,000 1.0 ba -- sqft","1625; 2000","2"
"http://www.zillow.com/homedetails/72-W-87th-St-1D-New-York-NY-10024/2100763839_zpid/","1 photo","","1","","1 photo","1","http://www.zillow.com/homedetails/72-W-87th-St-1D-New-York-NY-10024/2100763839_zpid/","72 W 87th St # 1D, New York, NY10024","72 W 87th St # 1D, New York, NY Real Estate","72; 87; 1","Apartment For Rent","$2,400/mo","2400","Studio • 1 ba","1","","","12","hours ago","","","2"
"http://www.zillow.com/homedetails/310-W-78th-St-3BB-New-York-NY-10024/2100763841_zpid/","","","","","","","http://www.zillow.com/homedetails/310-W-78th-St-3BB-New-York-NY-10024/2100763841_zpid/","310 W 78th St # 3BB, New York, NY10024","310 W 78th St # 3BB, New York, NY Real Estate","310; 78; 3","Apartment For Rent","$2,195/mo","2195","Studio • 1 ba • 400 sqft","1; 400","","","12","hours ago","","","2"
"http://www.zillow.com/homedetails/301-W-110th-St-APT-3F-New-York-NY-10026/31550221_zpid/","11 photos","","11","","11 photos","11","http://www.zillow.com/homedetails/301-W-110th-St-APT-3F-New-York-NY-10026/31550221_zpid/","301 W 110th St APT 3F, New York, NY10026","301 W 110th St APT 3F, New York, NY Real Estate","301; 110; 3","Apartment For Rent","$2,800/mo","2800","1 bd • 1 ba • 600 sqft • Built 1989","1; 1; 600; 1989","","","12","hours ago","","","2"
"http://www.zillow.com/homedetails/115-W-57th-St-APT-4F-New-York-NY-10019/2118533935_zpid/","","","","","","","http://www.zillow.com/homedetails/115-W-57th-St-APT-4F-New-York-NY-10019/2118533935_zpid/","115 W 57th St APT 4F, New York, NY10019","115 W 57th St APT 4F, New York, NY Real Estate","115; 57; 4","Apartment For Rent","$2,495/mo","2495","1 bd • 1 ba","1; 1","","","14","hours ago","","","2"
"http://www.zillow.com/homedetails/438-E-66th-St-4-New-York-NY-10065/2106344724_zpid/","4 photos","","4","","4 photos","4","http://www.zillow.com/homedetails/438-E-66th-St-4-New-York-NY-10065/2106344724_zpid/","438 E 66th St # 4, New York, NY10065","438 E 66th St # 4, New York, NY Real Estate","438; 66; 4","Apartment For Rent","$1,900/mo","1900","1 bd • 1 ba","1; 1","","","14","hours ago","","","2"
"http://www.zillow.com/homedetails/30-W-141st-St-APT-6C-New-York-NY-10037/2112163749_zpid/","9 photos","","9","","9 photos","9","http://www.zillow.com/homedetails/30-W-141st-St-APT-6C-New-York-NY-10037/2112163749_zpid/","30 W 141st St APT 6C, New York, NY10037","30 W 141st St APT 6C, New York, NY Real Estate","30; 141; 6","Apartment For Rent","$1,815/mo","1815","1 bd • 1 ba • 596 sqft • Built 1959","1; 1; 596; 1959","","","14","hours ago","","","2"
"http://www.zillow.com/b/45-wall-street-new-york-ny-8Jmx/","16 photos","","16","","16 photos","16","http://www.zillow.com/b/45-wall-street-new-york-ny-8Jmx/","45 Wall Street","45 Wall St APT 1518, New York, NY Real Estate","45","Apartments For Rent","","","45 Wall St, New York, NY","45","4 matching units","4","","Updated today","Studios $2,600+ 1.0 ba 425+ sqft","2600","3"
"http://www.zillow.com/b/plaza-200-new-york-ny-5XjXqX/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/plaza-200-new-york-ny-5XjXqX/","Plaza 200","355 S End Ave APT 14G, New York, NY Real Estate","200","Apartments For Rent","","","355 S End Ave, New York, NY","355","2 matching units","2","","","Studios $2,589+ 1.0 ba 579+ sqft","2589","3"
"http://www.zillow.com/homedetails/211-E-4th-St-APT-3-New-York-NY-10009/2119571597_zpid/","","","","","","","http://www.zillow.com/homedetails/211-E-4th-St-APT-3-New-York-NY-10009/2119571597_zpid/","211 E 4th St APT 3, New York, NY10009","211 E 4th St APT 3, New York, NY Real Estate","211; 4; 3","Apartment For Rent","$2,700/mo","2700","1 bd • 1 ba • 525 sqft","1; 1; 525","","","","","","","3"
"http://www.zillow.com/b/203-Rivington-St-New-York-NY/40.71825,-73.98307_ll/","7 photos","","7","","7 photos","7","http://www.zillow.com/b/203-Rivington-St-New-York-NY/40.71825,-73.98307_ll/","203 Rivington St","203 Rivington St APT 5B, New York, NY Real Estate","203","Apartments For Rent","","","203 Rivington St, New York, NY","203","2 matching units","2","","","1 Bedrooms $3,000 1.0 ba 750 sqft; 2 Bedrooms $3,000 1.0 ba -- sqft","3000; 3000","3"
"http://www.zillow.com/homedetails/52-Allen-St-3-New-York-NY-10002/2100767061_zpid/","11 photos","","11","","11 photos","11","http://www.zillow.com/homedetails/52-Allen-St-3-New-York-NY-10002/2100767061_zpid/","52 Allen St # 3, New York, NY10002","52 Allen St # 3, New York, NY Real Estate","52; 3","Apartment For Rent","$2,800/mo","2800","2 bds • 1 ba • 650 sqft","2; 1; 650","","","","","","","3"
"http://www.zillow.com/homedetails/280-E-2nd-St-604-New-York-NY-10009/2100767100_zpid/","4 photos","","4","","4 photos","4","http://www.zillow.com/homedetails/280-E-2nd-St-604-New-York-NY-10009/2100767100_zpid/","280 E 2nd St # 604, New York, NY10009","280 E 2nd St # 604, New York, NY Real Estate","280; 2; 604","Apartment For Rent","$2,850/mo","2850","1 bd • 1 ba","1; 1","","","","","","","3"
"http://www.zillow.com/b/153-Avenue-A-New-York-NY/40.72774,-73.98269_ll/","2 photos","","2","","2 photos","2","http://www.zillow.com/b/153-Avenue-A-New-York-NY/40.72774,-73.98269_ll/","153 Avenue A","153 Avenue A APT 1, New York, NY Real Estate","153","Apartments For Rent","","","153 Avenue A, New York, NY","153","4 matching units","4","","","Studios $1,995+ 1.0 ba -- sqft","1995","3"
"http://www.zillow.com/b/310-E-6th-St-New-York-NY/40.72693,-73.98801_ll/","6 photos","","6","","6 photos","6","http://www.zillow.com/b/310-E-6th-St-New-York-NY/40.72693,-73.98801_ll/","310 E 6th St","310 E 6th St # STUD, New York, NY Real Estate","310; 6","Apartments For Rent","","","310 E 6th St, New York, NY","310; 6","3 matching units","3","","","Studios $1,875+ 1.0 ba -- sqft; 1 Bedrooms $2,395 1.0 ba -- sqft","1875; 2395","3"
"http://www.zillow.com/homedetails/201-Allen-St-2R-New-York-NY-10002/2100769330_zpid/","","","","","","","http://www.zillow.com/homedetails/201-Allen-St-2R-New-York-NY-10002/2100769330_zpid/","201 Allen St # 2R, New York, NY10002","201 Allen St # 2R, New York, NY Real Estate","201; 2","Apartment For Rent","$2,199/mo","2199","1 bd • 1 ba","1; 1","","","","","","","3"
"http://www.zillow.com/b/41-Henry-St-New-York-NY/40.71313,-73.99586_ll/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/41-Henry-St-New-York-NY/40.71313,-73.99586_ll/","41 Henry St","41 Henry St APT 20, New York, NY Real Estate","41","Apartments For Rent","","","41 Henry St, New York, NY","41","2 matching units","2","","","2 Bedrooms $2,470+ 1.0 ba -- sqft","2470","3"
"http://www.zillow.com/b/197-Madison-St-New-York-NY/40.71275,-73.99029_ll/","4 photos","","4","","4 photos","4","http://www.zillow.com/b/197-Madison-St-New-York-NY/40.71275,-73.99029_ll/","197 Madison St","197 Madison St APT 9, New York, NY Real Estate","197","Apartments For Rent","","","197 Madison St, New York, NY","197","2 matching units","2","","","2 Bedrooms $2,329+ 1.0 ba -- sqft","2329","3"
"http://www.zillow.com/homedetails/74-Leonard-St-APT-2B-New-York-NY-10013/2100769387_zpid/","7 photos","","7","","7 photos","7","http://www.zillow.com/homedetails/74-Leonard-St-APT-2B-New-York-NY-10013/2100769387_zpid/","74 Leonard St APT 2B, New York, NY10013","74 Leonard St APT 2B, New York, NY Real Estate","74; 2","Apartment For Rent","$2,895/mo","2895","Studio • 1 ba","1","","","","","","","3"
"http://www.zillow.com/b/52-Henry-St-New-York-NY/40.71272,-73.99535_ll/","","","","","","","http://www.zillow.com/b/52-Henry-St-New-York-NY/40.71272,-73.99535_ll/","52 Henry St","52 Henry St # 3F, New York, NY Real Estate","52","Apartments For Rent","","","52 Henry St, New York, NY","52","2 matching units","2","","","2 Bedrooms $2,575+ 1.0 ba -- sqft","2575","3"
